Well,Isolate,Dose_binary,Dosage_uM,Spores
A1,63,yes,500,yes
A2,63,yes,500,yes
A3,63,no,0,yes
A4,63,yes,500,yes
A5,34,yes,500,yes
A6,34,yes,500,yes
A7,34,no,0,yes
A8,34,yes,500,yes
A9,39,yes,500,yes
A10,39,yes,500,yes
A11,39,no,0,yes
A12,39,yes,500,yes
B1,63,yes,500,yes
B2,63,yes,500,yes
B3,63,no,0,yes
B4,63,yes,500,yes
B5,34,yes,500,yes
B6,34,yes,500,yes
B7,34,no,0,yes
B8,34,yes,500,yes
B9,39,yes,500,yes
B10,39,yes,500,yes
B11,39,no,0,yes
B12,39,yes,500,yes
C1,63,yes,500,no
C2,63,yes,500,no
C3,63,yes,500,no
C4,63,yes,500,no
C5,34,yes,500,no
C6,34,yes,500,no
C7,34,no,0,no
C8,34,no,0,no
C9,39,no,0,no
C10,39,no,0,no
C11,39,no,0,no
C12,39,no,0,no
D1,63,yes,500,yes
D2,63,yes,500,yes
D3,63,no,0,yes
D4,63,yes,500,yes
D5,34,yes,500,yes
D6,34,yes,500,yes
D7,34,no,0,yes
D8,34,yes,500,yes
D9,39,yes,500,yes
D10,39,yes,500,yes
D11,39,no,0,yes
D12,39,yes,500,yes
E1,63,yes,500,yes
E2,63,yes,500,yes
E3,63,no,0,yes
E4,63,yes,500,yes
E5,34,yes,500,yes
E6,34,yes,500,yes
E7,34,no,0,yes
E8,34,yes,500,yes
E9,39,yes,500,yes
E10,39,yes,500,yes
E11,39,no,0,yes
E12,39,yes,500,yes
F1,63,yes,500,no
F2,63,yes,500,no
F3,63,yes,500,no
F4,63,yes,500,no
F5,34,yes,500,no
F6,34,yes,500,no
F7,34,no,0,no
F8,34,no,0,no
F9,39,no,0,no
F10,39,no,0,no
F11,39,no,0,no
F12,39,no,0,no
G1,63,yes,500,yes
G2,63,yes,500,yes
G3,63,no,0,yes
G4,63,yes,500,yes
G5,34,yes,500,yes
G6,34,yes,500,yes
G7,34,no,0,yes
G8,34,yes,500,yes
G9,39,yes,500,yes
G10,39,yes,500,yes
G11,39,no,0,yes
G12,39,yes,500,yes
H1,63,yes,500,yes
H2,63,yes,500,yes
H3,63,no,0,yes
H4,63,yes,500,yes
H5,34,yes,500,yes
H6,34,yes,500,yes
H7,34,no,0,yes
H8,34,yes,500,yes
H9,39,yes,500,yes
H10,39,yes,500,yes
H11,39,no,0,yes
H12,39,yes,500,yes